0.00.243.503 W srv  llama_server: -----------------
0.00.243.510 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.243.511 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.243.511 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.243.511 W srv  llama_server: -----------------
0.00.256.723 I srv    load_model: loading model 'C:/code/covenant-agent/baselines/qwen/models/qwen3.5-0.8b-s4-q8-fixed.gguf'
0.02.212.005 I cmn          init: llama threadpool init, n_threads = 12
0.02.283.106 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.02.296.728 I srv  llama_server: model loaded
0.02.296.734 I srv  llama_server: listening on http://127.0.0.1:8079
0.05.831.463 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.15.602.361 I slot print_timing: id  3 | task 153 |        eval time =     683.56 ms /    31 tokens (   22.79 ms per token,    43.89 tokens per second)
0.15.602.363 I slot print_timing: id  3 | task 153 |       total time =    1568.12 ms /  1544 tokens
0.15.602.364 I slot print_timing: id  3 | task 153 |    graphs reused =        153
0.15.602.547 I slot      release: id  3 | task 153 | stop processing: n_tokens = 1543, truncated = 0
0.15.748.275 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.517 (> 0.100 thold), f_keep = 0.508
0.15.748.948 I slot launch_slot_: id  3 | task 187 | processing task, is_child = 0
0.17.393.405 I slot print_timing: id  3 | task 187 | prompt eval time =     866.66 ms /  1516 tokens (    0.57 ms per token,  1749.25 tokens per second)
0.17.393.422 I slot print_timing: id  3 | task 187 |        eval time =     777.75 ms /    35 tokens (   22.87 ms per token,    43.72 tokens per second)
0.17.393.425 I slot print_timing: id  3 | task 187 |       total time =    1644.40 ms /  1551 tokens
0.17.393.427 I slot print_timing: id  3 | task 187 |    graphs reused =        185
0.17.393.642 I slot      release: id  3 | task 187 | stop processing: n_tokens = 1550, truncated = 0
0.17.541.755 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.506
0.17.542.676 I slot launch_slot_: id  3 | task 225 | processing task, is_child = 0
0.19.013.690 I slot print_timing: id  3 | task 225 | prompt eval time =     872.15 ms /  1513 tokens (    0.58 ms per token,  1734.79 tokens per second)
0.19.013.705 I slot print_timing: id  3 | task 225 |        eval time =     598.79 ms /    32 tokens (   19.32 ms per token,    51.77 tokens per second)
0.19.013.708 I slot print_timing: id  3 | task 225 |       total time =    1470.94 ms /  1545 tokens
0.19.013.710 I slot print_timing: id  3 | task 225 |    graphs reused =        214
0.19.013.934 I slot      release: id  3 | task 225 | stop processing: n_tokens = 1544, truncated = 0
0.19.112.932 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.508
0.19.114.009 I slot launch_slot_: id  3 | task 260 | processing task, is_child = 0
0.20.563.014 I slot print_timing: id  3 | task 260 | prompt eval time =     892.99 ms /  1513 tokens (    0.59 ms per token,  1694.31 tokens per second)
0.20.563.026 I slot print_timing: id  3 | task 260 |        eval time =     555.96 ms /    23 tokens (   25.27 ms per token,    39.57 tokens per second)
0.20.563.028 I slot print_timing: id  3 | task 260 |       total time =    1448.95 ms /  1536 tokens
0.20.563.029 I slot print_timing: id  3 | task 260 |    graphs reused =        235
0.20.563.176 I slot      release: id  3 | task 260 | stop processing: n_tokens = 1535, truncated = 0
0.20.683.389 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.511
0.20.684.467 I slot launch_slot_: id  3 | task 286 | processing task, is_child = 0
0.22.265.850 I slot print_timing: id  3 | task 286 | prompt eval time =     879.35 ms /  1513 tokens (    0.58 ms per token,  1720.58 tokens per second)
0.22.265.868 I slot print_timing: id  3 | task 286 |        eval time =     701.97 ms /    31 tokens (   23.40 ms per token,    42.74 tokens per second)
0.22.265.869 I slot print_timing: id  3 | task 286 |       total time =    1581.32 ms /  1544 tokens
0.22.265.871 I slot print_timing: id  3 | task 286 |    graphs reused =        263
0.22.266.036 I slot      release: id  3 | task 286 | stop processing: n_tokens = 1543, truncated = 0
0.22.376.810 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.508
0.22.378.310 I slot launch_slot_: id  3 | task 320 | processing task, is_child = 0
0.23.407.827 I slot print_timing: id  3 | task 320 | prompt eval time =     867.34 ms /  1513 tokens (    0.57 ms per token,  1744.41 tokens per second)
0.23.407.847 I slot print_timing: id  3 | task 320 |        eval time =     162.10 ms /    11 tokens (   16.21 ms per token,    61.69 tokens per second)
0.23.407.849 I slot print_timing: id  3 | task 320 |       total time =    1029.45 ms /  1524 tokens
0.23.407.851 I slot print_timing: id  3 | task 320 |    graphs reused =        272
0.23.408.034 I slot      release: id  3 | task 320 | stop processing: n_tokens = 1523, truncated = 0
0.23.502.364 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.515 (> 0.100 thold), f_keep = 0.515
0.23.503.448 I slot launch_slot_: id  3 | task 334 | processing task, is_child = 0
0.24.971.295 I slot print_timing: id  3 | task 334 | prompt eval time =     872.66 ms /  1525 tokens (    0.57 ms per token,  1747.54 tokens per second)
0.24.971.318 I slot print_timing: id  3 | task 334 |        eval time =     595.12 ms /    32 tokens (   19.20 ms per token,    52.09 tokens per second)
0.24.971.321 I slot print_timing: id  3 | task 334 |       total time =    1467.78 ms /  1557 tokens
0.24.971.326 I slot print_timing: id  3 | task 334 |    graphs reused =        301
0.24.971.513 I slot      release: id  3 | task 334 | stop processing: n_tokens = 1556, truncated = 0
0.25.104.064 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.504
0.25.105.325 I slot launch_slot_: id  3 | task 369 | processing task, is_child = 0
0.26.912.007 I slot print_timing: id  3 | task 369 | prompt eval time =     853.10 ms /  1515 tokens (    0.56 ms per token,  1775.89 tokens per second)
0.26.912.017 I slot print_timing: id  3 | task 369 |        eval time =     953.53 ms /    33 tokens (   29.80 ms per token,    33.56 tokens per second)
0.26.912.018 I slot print_timing: id  3 | task 369 |       total time =    1806.62 ms /  1548 tokens
0.26.912.019 I slot print_timing: id  3 | task 369 |    graphs reused =        331
0.26.912.147 I slot      release: id  3 | task 369 | stop processing: n_tokens = 1547, truncated = 0
0.27.005.197 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.507
0.27.006.380 I slot launch_slot_: id  3 | task 405 | processing task, is_child = 0
0.28.434.248 I slot print_timing: id  3 | task 405 | prompt eval time =     861.88 ms /  1514 tokens (    0.57 ms per token,  1756.63 tokens per second)
0.28.434.262 I slot print_timing: id  3 | task 405 |        eval time =     565.94 ms /    31 tokens (   18.86 ms per token,    53.01 tokens per second)
0.28.434.265 I slot print_timing: id  3 | task 405 |       total time =    1427.81 ms /  1545 tokens
0.28.434.266 I slot print_timing: id  3 | task 405 |    graphs reused =        359
0.28.434.466 I slot      release: id  3 | task 405 | stop processing: n_tokens = 1544, truncated = 0
0.28.530.069 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.519 (> 0.100 thold), f_keep = 0.508
0.28.530.921 I slot launch_slot_: id  3 | task 439 | processing task, is_child = 0
0.29.668.556 I slot print_timing: id  3 | task 439 | prompt eval time =     854.55 ms /  1513 tokens (    0.56 ms per token,  1770.53 tokens per second)
0.29.668.574 I slot print_timing: id  3 | task 439 |        eval time =     283.03 ms /    11 tokens (   28.30 ms per token,    35.33 tokens per second)
0.29.668.576 I slot print_timing: id  3 | task 439 |       total time =    1137.57 ms /  1524 tokens
0.29.668.577 I slot print_timing: id  3 | task 439 |    graphs reused =        368
0.29.668.784 I slot      release: id  3 | task 439 | stop processing: n_tokens = 1523, truncated = 0
0.29.763.601 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.515 (> 0.100 thold), f_keep = 0.515
0.29.764.748 I slot launch_slot_: id  3 | task 453 | processing task, is_child = 0
0.31.044.279 I slot print_timing: id  3 | task 453 | prompt eval time =     865.35 ms /  1523 tokens (    0.57 ms per token,  1759.98 tokens per second)
0.31.044.297 I slot print_timing: id  3 | task 453 |        eval time =     414.11 ms /    23 tokens (   18.82 ms per token,    53.13 tokens per second)
0.31.044.300 I slot print_timing: id  3 | task 453 |       total time =    1279.46 ms /  1546 tokens
0.31.044.302 I slot print_timing: id  3 | task 453 |    graphs reused =        388
0.31.044.506 I slot      release: id  3 | task 453 | stop processing: n_tokens = 1545, truncated = 0
0.31.138.162 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.520 (> 0.100 thold), f_keep = 0.508
0.31.138.783 I slot launch_slot_: id  3 | task 479 | processing task, is_child = 0
0.32.573.892 I slot print_timing: id  3 | task 479 | prompt eval time =     877.48 ms /  1511 tokens (    0.58 ms per token,  1721.97 tokens per second)
0.32.573.912 I slot print_timing: id  3 | task 479 |        eval time =     557.57 ms /    31 tokens (   18.59 ms per token,    53.81 tokens per second)
0.32.573.915 I slot print_timing: id  3 | task 479 |       total time =    1435.05 ms /  1542 tokens
0.32.573.916 I slot print_timing: id  3 | task 479 |    graphs reused =        416
0.32.574.066 I slot      release: id  3 | task 479 | stop processing: n_tokens = 1541, truncated = 0
0.32.685.327 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.519 (> 0.100 thold), f_keep = 0.509
0.32.686.795 I slot launch_slot_: id  3 | task 513 | processing task, is_child = 0
0.34.054.828 I slot print_timing: id  3 | task 513 | prompt eval time =     825.44 ms /  1513 tokens (    0.55 ms per token,  1832.96 tokens per second)
0.34.054.846 I slot print_timing: id  3 | task 513 |        eval time =     542.52 ms /    24 tokens (   23.59 ms per token,    42.39 tokens per second)
0.34.054.849 I slot print_timing: id  3 | task 513 |       total time =    1367.96 ms /  1537 tokens
0.34.054.851 I slot print_timing: id  3 | task 513 |    graphs reused =        438
0.34.055.062 I slot      release: id  3 | task 513 | stop processing: n_tokens = 1536, truncated = 0
0.34.165.666 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.519 (> 0.100 thold), f_keep = 0.511
0.34.166.490 I slot launch_slot_: id  3 | task 540 | processing task, is_child = 0
0.35.945.757 I slot print_timing: id  3 | task 540 | prompt eval time =     894.36 ms /  1512 tokens (    0.59 ms per token,  1690.60 tokens per second)
0.35.945.769 I slot print_timing: id  3 | task 540 |        eval time =     884.85 ms /    30 tokens (   30.51 ms per token,    32.77 tokens per second)
0.35.945.771 I slot print_timing: id  3 | task 540 |       total time =    1779.20 ms /  1542 tokens
0.35.945.772 I slot print_timing: id  3 | task 540 |    graphs reused =        465
0.35.945.964 I slot      release: id  3 | task 540 | stop processing: n_tokens = 1541, truncated = 0
0.36.057.520 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.509
0.36.058.709 I slot launch_slot_: id  3 | task 573 | processing task, is_child = 0
0.37.456.534 I slot print_timing: id  3 | task 573 | prompt eval time =     862.98 ms /  1516 tokens (    0.57 ms per token,  1756.71 tokens per second)
0.37.456.552 I slot print_timing: id  3 | task 573 |        eval time =     534.78 ms /    29 tokens (   19.10 ms per token,    52.36 tokens per second)
0.37.456.555 I slot print_timing: id  3 | task 573 |       total time =    1397.76 ms /  1545 tokens
0.37.456.557 I slot print_timing: id  3 | task 573 |    graphs reused =        491
0.37.456.745 I slot      release: id  3 | task 573 | stop processing: n_tokens = 1544, truncated = 0
0.37.553.562 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.517 (> 0.100 thold), f_keep = 0.508
0.37.555.136 I slot launch_slot_: id  3 | task 605 | processing task, is_child = 0
0.39.009.506 I slot print_timing: id  3 | task 605 | prompt eval time =     868.57 ms /  1517 tokens (    0.57 ms per token,  1746.56 tokens per second)
0.39.009.521 I slot print_timing: id  3 | task 605 |        eval time =     585.73 ms /    32 tokens (   18.89 ms per token,    52.93 tokens per second)
0.39.009.524 I slot print_timing: id  3 | task 605 |       total time =    1454.30 ms /  1549 tokens
0.39.009.526 I slot print_timing: id  3 | task 605 |    graphs reused =        520
0.39.009.730 I slot      release: id  3 | task 605 | stop processing: n_tokens = 1548, truncated = 0
0.39.122.468 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.519 (> 0.100 thold), f_keep = 0.507
0.39.123.436 I slot launch_slot_: id  3 | task 640 | processing task, is_child = 0
0.40.588.480 I slot print_timing: id  3 | task 640 | prompt eval time =     889.60 ms /  1513 tokens (    0.59 ms per token,  1700.77 tokens per second)
0.40.588.497 I slot print_timing: id  3 | task 640 |        eval time =     575.38 ms /    31 tokens (   19.18 ms per token,    52.14 tokens per second)
0.40.588.500 I slot print_timing: id  3 | task 640 |       total time =    1464.98 ms /  1544 tokens
0.40.588.502 I slot print_timing: id  3 | task 640 |    graphs reused =        548
0.40.588.685 I slot      release: id  3 | task 640 | stop processing: n_tokens = 1543, truncated = 0
0.40.679.981 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.519 (> 0.100 thold), f_keep = 0.509
0.40.681.165 I slot launch_slot_: id  3 | task 674 | processing task, is_child = 0
0.42.169.359 I slot print_timing: id  3 | task 674 | prompt eval time =     841.94 ms /  1513 tokens (    0.56 ms per token,  1797.05 tokens per second)
0.42.169.375 I slot print_timing: id  3 | task 674 |        eval time =     646.19 ms /    29 tokens (   23.08 ms per token,    43.33 tokens per second)
0.42.169.378 I slot print_timing: id  3 | task 674 |       total time =    1488.12 ms /  1542 tokens
0.42.169.380 I slot print_timing: id  3 | task 674 |    graphs reused =        574
0.42.169.629 I slot      release: id  3 | task 674 | stop processing: n_tokens = 1541, truncated = 0
0.42.279.929 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.517 (> 0.100 thold), f_keep = 0.509
0.42.280.911 I slot launch_slot_: id  3 | task 706 | processing task, is_child = 0
0.43.924.135 I slot print_timing: id  3 | task 706 | prompt eval time =     867.49 ms /  1517 tokens (    0.57 ms per token,  1748.72 tokens per second)
0.43.924.153 I slot print_timing: id  3 | task 706 |        eval time =     775.65 ms /    35 tokens (   22.81 ms per token,    43.83 tokens per second)
0.43.924.156 I slot print_timing: id  3 | task 706 |       total time =    1643.14 ms /  1552 tokens
0.43.924.158 I slot print_timing: id  3 | task 706 |    graphs reused =        606
0.43.924.379 I slot      release: id  3 | task 706 | stop processing: n_tokens = 1551, truncated = 0
0.44.036.225 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.517 (> 0.100 thold), f_keep = 0.506
0.44.037.479 I slot launch_slot_: id  3 | task 744 | processing task, is_child = 0
0.45.472.687 I slot print_timing: id  3 | task 744 | prompt eval time =     901.96 ms /  1517 tokens (    0.59 ms per token,  1681.90 tokens per second)
0.45.472.702 I slot print_timing: id  3 | task 744 |        eval time =     533.18 ms /    29 tokens (   19.04 ms per token,    52.51 tokens per second)
0.45.472.705 I slot print_timing: id  3 | task 744 |       total time =    1435.14 ms /  1546 tokens
0.45.472.707 I slot print_timing: id  3 | task 744 |    graphs reused =        632
0.45.472.886 I slot      release: id  3 | task 744 | stop processing: n_tokens = 1545, truncated = 0
0.45.565.020 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.508
0.45.565.827 I slot launch_slot_: id  3 | task 776 | processing task, is_child = 0
0.47.012.265 I slot print_timing: id  3 | task 776 | prompt eval time =     857.93 ms /  1516 tokens (    0.57 ms per token,  1767.04 tokens per second)
0.47.012.277 I slot print_timing: id  3 | task 776 |        eval time =     588.44 ms /    32 tokens (   18.98 ms per token,    52.68 tokens per second)
0.47.012.280 I slot print_timing: id  3 | task 776 |       total time =    1446.37 ms /  1548 tokens
0.47.012.281 I slot print_timing: id  3 | task 776 |    graphs reused =        661
0.47.012.459 I slot      release: id  3 | task 776 | stop processing: n_tokens = 1547, truncated = 0
0.47.164.654 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.507
0.47.165.761 I slot launch_slot_: id  3 | task 811 | processing task, is_child = 0
0.48.726.898 I slot print_timing: id  3 | task 811 | prompt eval time =     852.66 ms /  1514 tokens (    0.56 ms per token,  1775.63 tokens per second)
0.48.726.912 I slot print_timing: id  3 | task 811 |        eval time =     708.41 ms /    32 tokens (   22.85 ms per token,    43.76 tokens per second)
0.48.726.914 I slot print_timing: id  3 | task 811 |       total time =    1561.07 ms /  1546 tokens
0.48.726.915 I slot print_timing: id  3 | task 811 |    graphs reused =        690
0.48.727.095 I slot      release: id  3 | task 811 | stop processing: n_tokens = 1545, truncated = 0
0.48.836.350 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.508
0.48.837.076 I slot launch_slot_: id  3 | task 846 | processing task, is_child = 0
0.50.274.259 I slot print_timing: id  3 | task 846 | prompt eval time =     902.32 ms /  1515 tokens (    0.60 ms per token,  1679.00 tokens per second)
0.50.274.276 I slot print_timing: id  3 | task 846 |        eval time =     534.80 ms /    23 tokens (   24.31 ms per token,    41.14 tokens per second)
0.50.274.279 I slot print_timing: id  3 | task 846 |       total time =    1437.12 ms /  1538 tokens
0.50.274.280 I slot print_timing: id  3 | task 846 |    graphs reused =        710
0.50.274.459 I slot      release: id  3 | task 846 | stop processing: n_tokens = 1537, truncated = 0
0.50.369.575 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.511
0.50.370.836 I slot launch_slot_: id  3 | task 872 | processing task, is_child = 0
0.51.800.070 I slot print_timing: id  3 | task 872 | prompt eval time =     859.44 ms /  1514 tokens (    0.57 ms per token,  1761.62 tokens per second)
0.51.800.085 I slot print_timing: id  3 | task 872 |        eval time =     569.71 ms /    24 tokens (   24.77 ms per token,    40.37 tokens per second)
0.51.800.088 I slot print_timing: id  3 | task 872 |       total time =    1429.14 ms /  1538 tokens
0.51.800.090 I slot print_timing: id  3 | task 872 |    graphs reused =        731
0.51.800.271 I slot      release: id  3 | task 872 | stop processing: n_tokens = 1537, truncated = 0
0.51.914.790 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.511
0.51.916.140 I slot launch_slot_: id  3 | task 899 | processing task, is_child = 0
0.53.322.033 I slot print_timing: id  3 | task 899 | prompt eval time =     890.00 ms /  1514 tokens (    0.59 ms per token,  1701.12 tokens per second)
0.53.322.051 I slot print_timing: id  3 | task 899 |        eval time =     515.82 ms /    20 tokens (   27.15 ms per token,    36.83 tokens per second)
0.53.322.053 I slot print_timing: id  3 | task 899 |       total time =    1405.82 ms /  1534 tokens
0.53.322.055 I slot print_timing: id  3 | task 899 |    graphs reused =        749
0.53.322.297 I slot      release: id  3 | task 899 | stop processing: n_tokens = 1533, truncated = 0
0.53.426.979 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.517 (> 0.100 thold), f_keep = 0.511
0.53.428.092 I slot launch_slot_: id  3 | task 922 | processing task, is_child = 0
0.54.676.594 I slot print_timing: id  3 | task 922 | prompt eval time =     959.94 ms /  1516 tokens (    0.63 ms per token,  1579.26 tokens per second)
0.54.676.610 I slot print_timing: id  3 | task 922 |        eval time =     288.50 ms /    11 tokens (   28.85 ms per token,    34.66 tokens per second)
0.54.676.612 I slot print_timing: id  3 | task 922 |       total time =    1248.44 ms /  1527 tokens
0.54.676.613 I slot print_timing: id  3 | task 922 |    graphs reused =        758
0.54.676.730 I slot      release: id  3 | task 922 | stop processing: n_tokens = 1526, truncated = 0
0.54.772.249 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.514 (> 0.100 thold), f_keep = 0.514
0.54.773.473 I slot launch_slot_: id  3 | task 936 | processing task, is_child = 0
0.56.309.874 I slot print_timing: id  3 | task 936 | prompt eval time =     879.78 ms /  1526 tokens (    0.58 ms per token,  1734.52 tokens per second)
0.56.309.890 I slot print_timing: id  3 | task 936 |        eval time =     656.55 ms /    30 tokens (   22.64 ms per token,    44.17 tokens per second)
0.56.309.893 I slot print_timing: id  3 | task 936 |       total time =    1536.33 ms /  1556 tokens
0.56.309.896 I slot print_timing: id  3 | task 936 |    graphs reused =        785
0.56.310.131 I slot      release: id  3 | task 936 | stop processing: n_tokens = 1555, truncated = 0
0.56.403.472 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.505
0.56.404.232 I slot launch_slot_: id  3 | task 969 | processing task, is_child = 0
0.57.847.247 I slot print_timing: id  3 | task 969 | prompt eval time =     897.15 ms /  1514 tokens (    0.59 ms per token,  1687.57 tokens per second)
0.57.847.263 I slot print_timing: id  3 | task 969 |        eval time =     545.81 ms /    23 tokens (   24.81 ms per token,    40.31 tokens per second)
0.57.847.266 I slot print_timing: id  3 | task 969 |       total time =    1442.96 ms /  1537 tokens
0.57.847.268 I slot print_timing: id  3 | task 969 |    graphs reused =        806
0.57.847.441 I slot      release: id  3 | task 969 | stop processing: n_tokens = 1536, truncated = 0
0.57.955.790 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.511
0.57.957.129 I slot launch_slot_: id  3 | task 995 | processing task, is_child = 0
0.59.444.964 I slot print_timing: id  3 | task 995 | prompt eval time =     872.51 ms /  1515 tokens (    0.58 ms per token,  1736.38 tokens per second)
0.59.444.978 I slot print_timing: id  3 | task 995 |        eval time =     615.26 ms /    32 tokens (   19.85 ms per token,    50.39 tokens per second)
0.59.444.980 I slot print_timing: id  3 | task 995 |       total time =    1487.77 ms /  1547 tokens
0.59.444.982 I slot print_timing: id  3 | task 995 |    graphs reused =        835
0.59.445.179 I slot      release: id  3 | task 995 | stop processing: n_tokens = 1546, truncated = 0
0.59.544.451 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.518 (> 0.100 thold), f_keep = 0.508
0.59.545.757 I slot launch_slot_: id  3 | task 1030 | processing task, is_child = 0
1.01.361.541 I slot print_timing: id  3 | task 1030 | prompt eval time =     959.85 ms /  1514 tokens (    0.63 ms per token,  1577.34 tokens per second)
1.01.361.566 I slot print_timing: id  3 | task 1030 |        eval time =     855.87 ms /    31 tokens (   28.53 ms per token,    35.05 tokens per second)
1.01.361.569 I slot print_timing: id  3 | task 1030 |       total time =    1815.71 ms /  1545 tokens
1.01.361.572 I slot print_timing: id  3 | task 1030 |    graphs reused =        863
