0.00.163.112 W srv  llama_server: -----------------
0.00.163.127 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.163.128 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.163.129 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.163.129 W srv  llama_server: -----------------
0.00.170.854 I srv    load_model: loading model 'C:/code/covenant-agent/baselines/qwen/models/qwen3.5-0.8b-s2r-q8.gguf'
0.05.400.434 I cmn          init: llama threadpool init, n_threads = 12
0.05.603.531 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.05.625.664 I srv  llama_server: model loaded
0.05.625.760 I srv  llama_server: listening on http://127.0.0.1:8078
0.12.589.310 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
1.02.469.351 I slot print_timing: id  3 | task 328 | prompt eval time =    2372.23 ms /  1410 tokens (    1.68 ms per token,   594.38 tokens per second)
1.02.469.374 I slot print_timing: id  3 | task 328 |        eval time =    1664.00 ms /    38 tokens (   44.97 ms per token,    22.24 tokens per second)
1.02.469.377 I slot print_timing: id  3 | task 328 |       total time =    4036.23 ms /  1448 tokens
1.02.469.379 I slot print_timing: id  3 | task 328 |    graphs reused =        315
1.02.469.629 I slot      release: id  3 | task 328 | stop processing: n_tokens = 1447, truncated = 0
1.02.905.557 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.496 (> 0.100 thold), f_keep = 0.482
1.03.438.889 I slot launch_slot_: id  3 | task 369 | processing task, is_child = 0
1.07.099.902 I slot print_timing: id  3 | task 369 | prompt eval time =    2348.85 ms /  1405 tokens (    1.67 ms per token,   598.16 tokens per second)
1.07.099.962 I slot print_timing: id  3 | task 369 |        eval time =    1311.91 ms /    32 tokens (   42.32 ms per token,    23.63 tokens per second)
1.07.099.966 I slot print_timing: id  3 | task 369 |       total time =    3660.76 ms /  1437 tokens
1.07.099.970 I slot print_timing: id  3 | task 369 |    graphs reused =        345
1.07.100.419 I slot      release: id  3 | task 369 | stop processing: n_tokens = 1436, truncated = 0
1.07.406.045 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.496 (> 0.100 thold), f_keep = 0.485
1.07.946.144 I slot launch_slot_: id  3 | task 404 | processing task, is_child = 0
1.11.981.899 I slot print_timing: id  3 | task 404 | prompt eval time =    2481.46 ms /  1406 tokens (    1.76 ms per token,   566.60 tokens per second)
1.11.981.916 I slot print_timing: id  3 | task 404 |        eval time =    1554.18 ms /    35 tokens (   45.71 ms per token,    21.88 tokens per second)
1.11.981.920 I slot print_timing: id  3 | task 404 |       total time =    4035.64 ms /  1441 tokens
1.11.981.922 I slot print_timing: id  3 | task 404 |    graphs reused =        378
1.11.982.108 I slot      release: id  3 | task 404 | stop processing: n_tokens = 1440, truncated = 0
1.12.399.427 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.496 (> 0.100 thold), f_keep = 0.484
1.13.132.895 I slot launch_slot_: id  3 | task 442 | processing task, is_child = 0
1.16.785.220 I slot print_timing: id  3 | task 442 | prompt eval time =    2690.16 ms /  1405 tokens (    1.91 ms per token,   522.27 tokens per second)
1.16.785.242 I slot print_timing: id  3 | task 442 |        eval time =     962.02 ms /    20 tokens (   50.63 ms per token,    19.75 tokens per second)
1.16.785.245 I slot print_timing: id  3 | task 442 |       total time =    3652.18 ms /  1425 tokens
1.16.785.248 I slot print_timing: id  3 | task 442 |    graphs reused =        396
1.16.785.602 I slot      release: id  3 | task 442 | stop processing: n_tokens = 1424, truncated = 0
1.17.192.271 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.496 (> 0.100 thold), f_keep = 0.489
1.17.856.124 I slot launch_slot_: id  3 | task 465 | processing task, is_child = 0
1.22.128.311 I slot print_timing: id  3 | task 465 | prompt eval time =    2577.69 ms /  1404 tokens (    1.84 ms per token,   544.67 tokens per second)
1.22.128.327 I slot print_timing: id  3 | task 465 |        eval time =    1694.38 ms /    38 tokens (   45.79 ms per token,    21.84 tokens per second)
1.22.128.329 I slot print_timing: id  3 | task 465 |       total time =    4272.06 ms /  1442 tokens
1.22.128.331 I slot print_timing: id  3 | task 465 |    graphs reused =        432
1.22.128.507 I slot      release: id  3 | task 465 | stop processing: n_tokens = 1441, truncated = 0
1.22.615.687 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.497 (> 0.100 thold), f_keep = 0.484
1.23.132.211 I slot launch_slot_: id  3 | task 506 | processing task, is_child = 0
1.26.728.314 I slot print_timing: id  3 | task 506 | prompt eval time =    2335.28 ms /  1403 tokens (    1.66 ms per token,   600.79 tokens per second)
1.26.728.331 I slot print_timing: id  3 | task 506 |        eval time =    1260.68 ms /    32 tokens (   40.67 ms per token,    24.59 tokens per second)
1.26.728.333 I slot print_timing: id  3 | task 506 |       total time =    3595.96 ms /  1435 tokens
1.26.728.337 I slot print_timing: id  3 | task 506 |    graphs reused =        462
1.26.728.553 I slot      release: id  3 | task 506 | stop processing: n_tokens = 1434, truncated = 0
1.27.018.071 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.497 (> 0.100 thold), f_keep = 0.486
1.27.323.061 I slot launch_slot_: id  3 | task 541 | processing task, is_child = 0
1.31.273.093 I slot print_timing: id  3 | task 541 | prompt eval time =    2321.09 ms /  1402 tokens (    1.66 ms per token,   604.03 tokens per second)
1.31.273.109 I slot print_timing: id  3 | task 541 |        eval time =    1628.85 ms /    37 tokens (   45.25 ms per token,    22.10 tokens per second)
1.31.273.112 I slot print_timing: id  3 | task 541 |       total time =    3949.95 ms /  1439 tokens
1.31.273.113 I slot print_timing: id  3 | task 541 |    graphs reused =        497
1.31.273.297 I slot      release: id  3 | task 541 | stop processing: n_tokens = 1438, truncated = 0
1.31.646.453 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.496 (> 0.100 thold), f_keep = 0.485
1.32.175.997 I slot launch_slot_: id  3 | task 581 | processing task, is_child = 0
1.35.908.854 I slot print_timing: id  3 | task 581 | prompt eval time =    2386.36 ms /  1404 tokens (    1.70 ms per token,   588.34 tokens per second)
1.35.908.877 I slot print_timing: id  3 | task 581 |        eval time =    1346.35 ms /    32 tokens (   43.43 ms per token,    23.03 tokens per second)
1.35.908.879 I slot print_timing: id  3 | task 581 |       total time =    3732.71 ms /  1436 tokens
1.35.908.882 I slot print_timing: id  3 | task 581 |    graphs reused =        527
1.35.909.166 I slot      release: id  3 | task 581 | stop processing: n_tokens = 1435, truncated = 0
1.36.358.219 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.497 (> 0.100 thold), f_keep = 0.486
1.36.909.077 I slot launch_slot_: id  3 | task 616 | processing task, is_child = 0
1.40.336.272 I slot print_timing: id  3 | task 616 | prompt eval time =    1873.32 ms /  1403 tokens (    1.34 ms per token,   748.94 tokens per second)
1.40.336.295 I slot print_timing: id  3 | task 616 |        eval time =    1553.70 ms /    32 tokens (   50.12 ms per token,    19.95 tokens per second)
1.40.336.299 I slot print_timing: id  3 | task 616 |       total time =    3427.02 ms /  1435 tokens
1.40.336.302 I slot print_timing: id  3 | task 616 |    graphs reused =        557
1.40.336.602 I slot      release: id  3 | task 616 | stop processing: n_tokens = 1434, truncated = 0
1.40.742.241 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.495 (> 0.100 thold), f_keep = 0.486
1.41.404.312 I slot launch_slot_: id  3 | task 651 | processing task, is_child = 0
1.45.409.897 I slot print_timing: id  3 | task 651 | prompt eval time =    2606.13 ms /  1407 tokens (    1.85 ms per token,   539.88 tokens per second)
1.45.409.923 I slot print_timing: id  3 | task 651 |        eval time =    1399.32 ms /    32 tokens (   45.14 ms per token,    22.15 tokens per second)
1.45.409.926 I slot print_timing: id  3 | task 651 |       total time =    4005.45 ms /  1439 tokens
1.45.409.928 I slot print_timing: id  3 | task 651 |    graphs reused =        587
1.45.410.174 I slot      release: id  3 | task 651 | stop processing: n_tokens = 1438, truncated = 0
1.45.797.524 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.496 (> 0.100 thold), f_keep = 0.484
1.46.548.568 I slot launch_slot_: id  3 | task 686 | processing task, is_child = 0
1.50.588.744 I slot print_timing: id  3 | task 686 | prompt eval time =    2522.29 ms /  1403 tokens (    1.80 ms per token,   556.24 tokens per second)
1.50.588.764 I slot print_timing: id  3 | task 686 |        eval time =    1517.74 ms /    32 tokens (   48.96 ms per token,    20.43 tokens per second)
1.50.588.767 I slot print_timing: id  3 | task 686 |       total time =    4040.04 ms /  1435 tokens
1.50.588.769 I slot print_timing: id  3 | task 686 |    graphs reused =        617
1.50.589.152 I slot      release: id  3 | task 686 | stop processing: n_tokens = 1434, truncated = 0
1.51.087.520 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.495 (> 0.100 thold), f_keep = 0.485
1.51.932.360 I slot launch_slot_: id  3 | task 721 | processing task, is_child = 0
1.55.980.726 I slot print_timing: id  3 | task 721 | prompt eval time =    2689.54 ms /  1405 tokens (    1.91 ms per token,   522.39 tokens per second)
1.55.980.742 I slot print_timing: id  3 | task 721 |        eval time =    1358.68 ms /    32 tokens (   43.83 ms per token,    22.82 tokens per second)
1.55.980.744 I slot print_timing: id  3 | task 721 |       total time =    4048.22 ms /  1437 tokens
1.55.980.746 I slot print_timing: id  3 | task 721 |    graphs reused =        647
1.55.980.934 I slot      release: id  3 | task 721 | stop processing: n_tokens = 1436, truncated = 0
1.56.321.901 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.496 (> 0.100 thold), f_keep = 0.485
1.56.717.934 I slot launch_slot_: id  3 | task 756 | processing task, is_child = 0
1.59.500.371 I slot print_timing: id  3 | task 756 | prompt eval time =    2314.11 ms /  1403 tokens (    1.65 ms per token,   606.28 tokens per second)
1.59.500.384 I slot print_timing: id  3 | task 756 |        eval time =     468.20 ms /    11 tokens (   46.82 ms per token,    21.36 tokens per second)
1.59.500.386 I slot print_timing: id  3 | task 756 |       total time =    2782.32 ms /  1414 tokens
1.59.500.391 I slot print_timing: id  3 | task 756 |    graphs reused =        656
1.59.500.569 I slot      release: id  3 | task 756 | stop processing: n_tokens = 1413, truncated = 0
1.59.795.765 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.493 (> 0.100 thold), f_keep = 0.493
2.00.391.863 I slot launch_slot_: id  3 | task 770 | processing task, is_child = 0
2.03.102.487 I slot print_timing: id  3 | task 770 | prompt eval time =    2395.31 ms /  1411 tokens (    1.70 ms per token,   589.07 tokens per second)
2.03.102.509 I slot print_timing: id  3 | task 770 |        eval time =     315.21 ms /     8 tokens (   45.03 ms per token,    22.21 tokens per second)
2.03.102.511 I slot print_timing: id  3 | task 770 |       total time =    2710.52 ms /  1419 tokens
2.03.102.514 I slot print_timing: id  3 | task 770 |    graphs reused =        662
2.03.102.763 I slot      release: id  3 | task 770 | stop processing: n_tokens = 1418, truncated = 0
2.03.589.493 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.495 (> 0.100 thold), f_keep = 0.491
2.04.203.147 I slot launch_slot_: id  3 | task 781 | processing task, is_child = 0
2.08.078.236 I slot print_timing: id  3 | task 781 | prompt eval time =    2600.48 ms /  1406 tokens (    1.85 ms per token,   540.67 tokens per second)
2.08.078.260 I slot print_timing: id  3 | task 781 |        eval time =    1274.45 ms /    32 tokens (   41.11 ms per token,    24.32 tokens per second)
2.08.078.262 I slot print_timing: id  3 | task 781 |       total time =    3874.93 ms /  1438 tokens
2.08.078.266 I slot print_timing: id  3 | task 781 |    graphs reused =        692
2.08.078.694 I slot      release: id  3 | task 781 | stop processing: n_tokens = 1437, truncated = 0
2.08.375.157 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.496 (> 0.100 thold), f_keep = 0.484
2.08.779.881 I slot launch_slot_: id  3 | task 816 | processing task, is_child = 0
2.12.583.725 I slot print_timing: id  3 | task 816 | prompt eval time =    2310.77 ms /  1404 tokens (    1.65 ms per token,   607.59 tokens per second)
2.12.583.756 I slot print_timing: id  3 | task 816 |        eval time =    1492.91 ms /    35 tokens (   43.91 ms per token,    22.77 tokens per second)
2.12.583.759 I slot print_timing: id  3 | task 816 |       total time =    3803.68 ms /  1439 tokens
2.12.583.762 I slot print_timing: id  3 | task 816 |    graphs reused =        725
2.12.584.040 I slot      release: id  3 | task 816 | stop processing: n_tokens = 1438, truncated = 0
2.12.969.255 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.496 (> 0.100 thold), f_keep = 0.484
2.13.533.887 I slot launch_slot_: id  3 | task 854 | processing task, is_child = 0
2.17.174.895 I slot print_timing: id  3 | task 854 | prompt eval time =    2721.79 ms /  1404 tokens (    1.94 ms per token,   515.84 tokens per second)
2.17.174.914 I slot print_timing: id  3 | task 854 |        eval time =     919.08 ms /    20 tokens (   48.37 ms per token,    20.67 tokens per second)
2.17.174.917 I slot print_timing: id  3 | task 854 |       total time =    3640.86 ms /  1424 tokens
2.17.174.919 I slot print_timing: id  3 | task 854 |    graphs reused =        743
2.17.175.118 I slot      release: id  3 | task 854 | stop processing: n_tokens = 1423, truncated = 0
2.17.481.742 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.493 (> 0.100 thold), f_keep = 0.489
2.18.235.704 I slot launch_slot_: id  3 | task 877 | processing task, is_child = 0
2.21.269.401 I slot print_timing: id  3 | task 877 | prompt eval time =    2621.44 ms /  1411 tokens (    1.86 ms per token,   538.25 tokens per second)
2.21.269.420 I slot print_timing: id  3 | task 877 |        eval time =     412.11 ms /    11 tokens (   41.21 ms per token,    24.27 tokens per second)
2.21.269.423 I slot print_timing: id  3 | task 877 |       total time =    3033.54 ms /  1422 tokens
2.21.269.425 I slot print_timing: id  3 | task 877 |    graphs reused =        752
2.21.269.734 I slot      release: id  3 | task 877 | stop processing: n_tokens = 1421, truncated = 0
2.21.548.001 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.494 (> 0.100 thold), f_keep = 0.490
2.22.354.048 I slot launch_slot_: id  3 | task 891 | processing task, is_child = 0
2.26.282.198 I slot print_timing: id  3 | task 891 | prompt eval time =    2515.53 ms /  1410 tokens (    1.78 ms per token,   560.52 tokens per second)
2.26.282.217 I slot print_timing: id  3 | task 891 |        eval time =    1412.49 ms /    35 tokens (   41.54 ms per token,    24.07 tokens per second)
2.26.282.219 I slot print_timing: id  3 | task 891 |       total time =    3928.03 ms /  1445 tokens
2.26.282.220 I slot print_timing: id  3 | task 891 |    graphs reused =        785
2.26.282.405 I slot      release: id  3 | task 891 | stop processing: n_tokens = 1444, truncated = 0
2.26.657.604 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.496 (> 0.100 thold), f_keep = 0.482
2.27.323.611 I slot launch_slot_: id  3 | task 929 | processing task, is_child = 0
2.31.004.579 I slot print_timing: id  3 | task 929 | prompt eval time =    2162.12 ms /  1404 tokens (    1.54 ms per token,   649.36 tokens per second)
2.31.004.598 I slot print_timing: id  3 | task 929 |        eval time =    1518.71 ms /    35 tokens (   44.67 ms per token,    22.39 tokens per second)
2.31.004.600 I slot print_timing: id  3 | task 929 |       total time =    3680.83 ms /  1439 tokens
2.31.004.601 I slot print_timing: id  3 | task 929 |    graphs reused =        818
2.31.008.007 I slot      release: id  3 | task 929 | stop processing: n_tokens = 1438, truncated = 0
2.31.469.290 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.495 (> 0.100 thold), f_keep = 0.484
2.32.090.922 I slot launch_slot_: id  3 | task 967 | processing task, is_child = 0
2.36.085.721 I slot print_timing: id  3 | task 967 | prompt eval time =    2424.60 ms /  1406 tokens (    1.72 ms per token,   579.89 tokens per second)
2.36.085.740 I slot print_timing: id  3 | task 967 |        eval time =    1570.08 ms /    37 tokens (   43.61 ms per token,    22.93 tokens per second)
2.36.085.743 I slot print_timing: id  3 | task 967 |       total time =    3994.68 ms /  1443 tokens
2.36.085.748 I slot print_timing: id  3 | task 967 |    graphs reused =        853
2.36.085.950 I slot      release: id  3 | task 967 | stop processing: n_tokens = 1442, truncated = 0
2.36.480.926 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.496 (> 0.100 thold), f_keep = 0.483
2.37.061.324 I slot launch_slot_: id  3 | task 1007 | processing task, is_child = 0
2.40.733.744 I slot print_timing: id  3 | task 1007 | prompt eval time =    2354.96 ms /  1406 tokens (    1.67 ms per token,   597.04 tokens per second)
2.40.733.766 I slot print_timing: id  3 | task 1007 |        eval time =    1317.33 ms /    35 tokens (   38.75 ms per token,    25.81 tokens per second)
2.40.733.769 I slot print_timing: id  3 | task 1007 |       total time =    3672.29 ms /  1441 tokens
2.40.733.771 I slot print_timing: id  3 | task 1007 |    graphs reused =        886
2.40.733.957 I slot      release: id  3 | task 1007 | stop processing: n_tokens = 1440, truncated = 0
2.41.029.721 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.496 (> 0.100 thold), f_keep = 0.484
2.41.387.844 I slot launch_slot_: id  3 | task 1045 | processing task, is_child = 0
2.44.289.660 I slot print_timing: id  3 | task 1045 | prompt eval time =    1839.46 ms /  1405 tokens (    1.31 ms per token,   763.81 tokens per second)
2.44.289.676 I slot print_timing: id  3 | task 1045 |        eval time =    1062.25 ms /    32 tokens (   34.27 ms per token,    29.18 tokens per second)
2.44.289.678 I slot print_timing: id  3 | task 1045 |       total time =    2901.71 ms /  1437 tokens
2.44.289.680 I slot print_timing: id  3 | task 1045 |    graphs reused =        916
2.44.289.928 I slot      release: id  3 | task 1045 | stop processing: n_tokens = 1436, truncated = 0
2.44.765.592 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.498 (> 0.100 thold), f_keep = 0.485
2.45.512.443 I slot launch_slot_: id  3 | task 1080 | processing task, is_child = 0
2.49.744.234 I slot print_timing: id  3 | task 1080 | prompt eval time =    2564.89 ms /  1400 tokens (    1.83 ms per token,   545.83 tokens per second)
2.49.744.253 I slot print_timing: id  3 | task 1080 |        eval time =    1666.76 ms /    35 tokens (   49.02 ms per token,    20.40 tokens per second)
2.49.744.255 I slot print_timing: id  3 | task 1080 |       total time =    4231.65 ms /  1435 tokens
2.49.744.258 I slot print_timing: id  3 | task 1080 |    graphs reused =        949
2.49.744.502 I slot      release: id  3 | task 1080 | stop processing: n_tokens = 1434, truncated = 0
2.50.111.864 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.494 (> 0.100 thold), f_keep = 0.486
2.50.809.853 I slot launch_slot_: id  3 | task 1118 | processing task, is_child = 0
2.54.864.318 I slot print_timing: id  3 | task 1118 | prompt eval time =    2559.45 ms /  1410 tokens (    1.82 ms per token,   550.90 tokens per second)
2.54.864.336 I slot print_timing: id  3 | task 1118 |        eval time =    1494.87 ms /    32 tokens (   48.22 ms per token,    20.74 tokens per second)
2.54.864.339 I slot print_timing: id  3 | task 1118 |       total time =    4054.32 ms /  1442 tokens
